name,from,to,position,height,weight,birthday,url
"GAZZOTTI Giulio",1900,3000,F,2.0200,229,"September 23, 1991",#
"DIENER Travis",1900,3000,G,1.8500,174,"March 1, 1982",#
"STOJANOVIC Vojislav",1900,3000,G,1.9900,216,"April 14, 1997",#
"FERABOLI Alessandro",1900,3000,G,1.9000,187,"September 17, 2001",#
"ARIAZZI Alessandro",1900,3000,G,1.8500,165,"August 13, 2001",#
"MATHIANG Mangok",1900,3000,C,2.0600,218,"October 8, 1992",#
"ALDRIDGE Peyton",1900,3000,F,2.0300,225,"November 10, 1995",#
"DEMPS Tre",1900,3000,G,1.8800,194,"May 21, 1993",#
"PORTANNESE Marco",1900,3000,G,1.9200,185,"May 29, 1989",#
"BOCCASAVIA Dario",1900,3000,F,1.9600,209,"August 24, 1998",#
"BAGGI Antonello",1900,3000,G,1.9000,187,"September 13, 2001",#
"SPISSU Marco",1900,3000,G,1.8500,176,"February 5, 1995",#
"DEVECCHI Giacomo",1900,3000,F,1.9600,212,"April 2, 1985",#
"RE Marco Antonio",1900,3000,G,1.9000,187,"July 13, 2000",#
"GENTILE Stefano",1900,3000,G,1.9000,209,"September 20, 1989",#
"SMITH Jaime",1900,3000,G,1.9000,183,"July 11, 1989",#
"MARTIS Christian",1900,3000,G,1.9000,187,"January 26, 2001",#
"PETTEWAY Terran",1900,3000,F,1.9800,201,"October 8, 1992",#
"MAGRO Daniele",1900,3000,C,2.1000,247,"April 14, 1987",#
"PIERRE Dyshawn",1900,3000,F,1.9800,229,"November 17, 1993",#
"MCGEE Tyrus",1900,3000,G,1.8800,198,"March 14, 1991",#
"CARTER Justin",1900,3000,C,1.9300,201,"April 21, 1987",#
"THOMAS Rashawn",1900,3000,F,2.0300,229,"August 15, 1994",#
"POLONARA Achille",1900,3000,F,2.0500,225,"November 23, 1991",#
"DIOP Ousmane",1900,3000,F,2.0400,221,"February 19, 2000",#
"COOLEY Jack",1900,3000,C,2.0800,273,"April 12, 1991",#
"BAMFORTH Scott",1900,3000,G,1.8800,192,"August 12, 1989",#
"PARODI Luciano",1900,3000,G,1.8300,181,"February 16, 1994",#
"CHESSA Filippo",1900,3000,G,1.9000,187,"May 12, 2001",#
"PARRILLO Salvatore",1900,3000,G,1.9200,203,"December 2, 1992",#
"UDANOH Ike",1900,3000,C,2.0200,245,"August 2, 1989",#
"LA TORRE Andrea",1900,3000,G-F,2.0400,207,"June 14, 1997",#
"BAPARAPÈ Biram",1900,3000,G,1.9000,183,"April 25, 1997",#
"GAINES Frank",1900,3000,G,1.9100,194,"July 7, 1990",#
"JEFFERSON Davon",1900,3000,C,2.0400,221,"November 3, 1986",#
"STONE Tyler",1900,3000,F,2.0300,229,"September 8, 1991",#
"MITCHELL Tony",1900,3000,F,1.9800,214,"August 7, 1989",#
"CALHOUN Omar",1900,3000,G-F,1.9800,201,"November 26, 1993",#
"BLAKES Gerry",1900,3000,G-F,1.9300,196,"November 16, 1993",#
"DAVIS Shaheed",1900,3000,F,2.0600,212,"February 14, 1994",#
"TASSONE Maurizio",1900,3000,G,1.9400,194,"November 23, 1990",#
"PAPPALARDO Luca",1900,3000,C,2.0400,203,"September 12, 1999",#
"QUAGLIA Francesco",1900,3000,C,2.0700,221,"November 18, 1988",#
"TAVERNARI Jonathan",1900,3000,F,1.9700,218,"June 18, 1987",#
"CARR Tony",1900,3000,G,1.9600,201,"October 11, 1997",#
"OLGIATI Lorenzo",1900,3000,G,1.9000,187,"June 11, 1999",#
"KYZLINK Tomas",1900,3000,G,1.9600,176,"June 18, 1993",#
"BILIGHA Paul Stephan",1900,3000,C,2.0000,234,"May 31, 1990",#
"CASARIN Davide",1900,3000,G,1.9000,187,"May 22, 2003",#
"STONE Julyan",1900,3000,G,1.9800,209,"December 7, 1988",#
"BRAMOS Michael",1900,3000,F,1.9800,225,"May 27, 1987",#
"TONUT Stefano",1900,3000,G,1.9400,198,"November 7, 1993",#
"DAYE Austin",1900,3000,F,2.1100,201,"June 5, 1988",#
"DE NICOLAO Andrea",1900,3000,G,1.8500,165,"August 21, 1991",#
"MAZZOLA Valerio",1900,3000,F-C,2.0500,245,"March 7, 1988",#
"CERELLA Bruno",1900,3000,G,1.9400,205,"July 30, 1986",#
"WATT Mitchell",1900,3000,C,2.0800,225,"December 14, 1989",#
"VIDMAR Gasper",1900,3000,C,2.1000,251,"September 14, 1987",#
"WASHINGTON Deron",1900,3000,F,2.0300,209,"December 12, 1985",#
"HAYNES MarQuez",1900,3000,G,1.8600,185,"December 19, 1986",#
"GIURI Marco",1900,3000,G,1.9400,198,"July 8, 1988",#
"JERKOVIC Mihajlo",1900,3000,F,2.0200,207,"June 21, 1999",#
"FAVARETTO Mattia",1900,3000,G,1.9000,187,"September 29, 2000",#
"KENNEDY D.J.",1900,3000,G,1.9800,216,"November 5, 1989",#
"BANKS Adrian",1900,3000,G,1.9100,194,"February 9, 1986",#
"MORASCHINI Riccardo",1900,3000,G-F,1.9400,218,"January 8, 1991",#
"CHAPPELL Jeremy Lamar",1900,3000,G-F,1.9100,201,"June 10, 1987",#
"ZANELLI Alessandro",1900,3000,G,1.8700,176,"May 7, 1992",#
"GUIDO Alessandro",1900,3000,G,1.9000,187,"October 3, 2002",#
"BROWN John",1900,3000,F-C,2.0300,216,"January 28, 1992",#
"CLARK Wes",1900,3000,G,1.8400,183,"December 12, 1994",#
"MARZO Emanuele",1900,3000,G,1.9000,187,"September 21, 2002",#
"RUSH Erik",1900,3000,G-F,1.9700,209,"June 21, 1988",#
"GAFFNEY Tony",1900,3000,F-C,2.0600,225,"November 14, 1984",#
"ORLANDINO Gabriele",1900,3000,G,1.9000,187,"January 17, 2000",#
"GREENE Phil",1900,3000,G,1.8800,183,"October 24, 1992",#
"CAZZOLATO Nicolò",1900,3000,G,1.9100,185,"January 22, 1989",#
"TADDEO Vincenzo",1900,3000,G,1.9100,181,"January 15, 2000",#
"CAPOCCIA Simone",1900,3000,G,1.9000,187,"May 1, 1999",#
"WOJCIECHOWSKI Jakub",1900,3000,C,2.1300,247,"January 9, 1990",#
"WALKER Devondrick",1900,3000,G,1.9600,205,"July 11, 1992",#
"STANO Samuele",1900,3000,G,1.9000,187,"May 24, 2000",#
"SPEDICATO Federico",1900,3000,G,1.9000,187,"March 15, 2001",#
"MASTRAPASQUA Paolo",1900,3000,G,1.9000,187,"November 20, 2000",#
"DANESE Gianmaria",1900,3000,G,1.9000,187,"October 17, 2002",#
"KRUBALLY Ousman",1900,3000,C,2.0100,225,"March 13, 1988",#
"DELLA ROSA Gianluca",1900,3000,G,1.8000,161,"August 20, 1996",#
"PEAK L.J.",1900,3000,F,1.9600,216,"February 2, 1996",#
"SEVERINI Luca",1900,3000,F,2.0400,203,"June 20, 1996",#
"MATI Alessandro",1900,3000,G,1.9000,187,"March 7, 2001",#
"DEL CHIARO Angelo",1900,3000,G,1.9000,187,"March 2, 2001",#
"MITCHELL Tony",1900,3000,F,1.9800,214,"August 7, 1989",#
"BOLPIN Riccardo",1900,3000,G,1.9700,198,"February 9, 1997",#
"JOHNSON Kerron",1900,3000,G,1.8500,176,"December 14, 1990",#
"AUDA Patrik",1900,3000,F,2.0600,236,"August 29, 1989",#
"DI PIZZO Marco",1900,3000,F,2.0400,201,"August 12, 1998",#
"MARTINI Matteo",1900,3000,G,1.9500,194,"August 25, 1992",#
"QUERCI Lorenzo",1900,3000,F,1.9300,185,"January 17, 2001",#
"JOHNSON Dominique",1900,3000,G-F,1.9300,194,"June 9, 1987",#
"GLADNESS Mickell",1900,3000,C,2.1100,229,"July 26, 1986",#
"MESICEK Blaz",1900,3000,G-F,1.9700,187,"June 12, 1997",#
"CROSARIOL Andrea",1900,3000,C,2.1000,251,"November 11, 1984",#
"ODUM Jacob",1900,3000,G,1.9300,181,"February 11, 1991",#
"MARTIN Kelvin",1900,3000,F,1.9600,209,"September 10, 1989",#
"ARADORI Pietro",1900,3000,G,1.9600,221,"December 9, 1988",#
"BALDI ROSSI Filippo",1900,3000,F-C,2.0700,214,"October 26, 1991",#
"PUNTER Kevin",1900,3000,G,1.9000,190,"June 25, 1993",#
"COURNOOH David Reginald",1900,3000,G,1.8700,183,"July 28, 1990",#
"PAJOLA Alessandro",1900,3000,G,1.9400,196,"November 9, 1999",#
"TAYLOR Tony",1900,3000,G,1.8300,192,"August 9, 1990",#
"CAPPELLETTI Alessandro",1900,3000,G,1.8200,181,"October 22, 1995",#
"KRAVIC Dejan",1900,3000,C,2.1100,240,"September 9, 1990",#
"BERTI Matteo",1900,3000,C,2.1300,198,"August 18, 1998",#
"M'BAYE Amath",1900,3000,F,2.0600,236,"December 14, 1989",#
"QVALE Brian",1900,3000,C,2.1000,254,"November 3, 1988",#
"CAMARA Gora",1900,3000,G,1.9000,187,"April 12, 2001",#
"VENTUROLI Niccolò",1900,3000,G,1.9000,187,"November 15, 2000",#
"MOREIRA Yanick",1900,3000,C,2.1100,221,"July 31, 1991",#
"CHALMERS Mario",1900,3000,G,1.8800,190,"May 19, 1986",#
"VITALI Luca",1900,3000,G,2.0100,187,"May 9, 1986",#
"MOSS David",1900,3000,F,1.9600,221,"September 9, 1983",#
"SACCHETTI Brian",1900,3000,F,2.0000,221,"May 4, 1986",#
"LAQUINTANA Tommaso",1900,3000,G,1.8800,176,"July 7, 1995",#
"ABASS Abass Awudu",1900,3000,F,1.9800,221,"January 27, 1993",#
"ZERINI Andrea",1900,3000,F-C,2.0500,243,"October 25, 1988",#
"DALCÒ Luca",1900,3000,G,1.8600,154,"December 27, 2001",#
"VERONESI Giacomo",1900,3000,G,1.9000,187,"December 17, 2001",#
"ALLEN Bryon",1900,3000,G,1.9000,198,"May 1, 1992",#
"HAMILTON Jordan",1900,3000,F,2.0100,221,"October 6, 1990",#
"CERON Marco",1900,3000,G,1.9500,221,"June 16, 1992",#
"CAROLI Matteo",1900,3000,G,1.9200,187,"January 1, 1995",#
"MIKA Eric",1900,3000,C,2.0900,229,"January 5, 1995",#
"BEVERLY Gerald",1900,3000,F-C,2.0300,236,"November 18, 1993",#
"CUNNINGHAM Jared",1900,3000,G,1.9500,187,"May 22, 1991",#
"MENSAH Oscar",1900,3000,G,1.8200,154,"January 27, 2000",#
"CERVI Riccardo",1900,3000,C,2.1400,254,"June 19, 1991",#
"DELLOSTO Nicolò",1900,3000,F,1.9600,187,"June 4, 2000",#
"DE VICO Niccolò",1900,3000,G-F,2.0000,205,"July 19, 1994",#
"CANDI Leonardo",1900,3000,G,1.9000,190,"March 30, 1997",#
"DIOUF Mouhamet Rassoul",1900,3000,F,2.0400,198,"September 10, 2001",#
"GASPARDO Raphael",1900,3000,F,2.0700,221,"August 3, 1993",#
"MUSSINI Federico",1900,3000,G,1.8800,181,"March 12, 1996",#
"PORFILIO Carlo",1900,3000,G,1.9000,187,"April 9, 2001",#
"JOHNSON-ODOM Darius",1900,3000,G,1.8700,216,"September 28, 1989",#
"SOVIERO Jacopo",1900,3000,G,1.9000,176,"January 12, 2001",#
"CIPOLLA Alessandro",1900,3000,G,1.9200,187,"February 16, 2000",#
"LEDO Riccardo Julio",1900,3000,G,2.0100,194,"September 10, 1992",#
"VIGORI Alessandro",1900,3000,C,2.1000,223,"November 13, 1999",#
"BUTTERFIELD Spencer",1900,3000,G,1.9300,205,"October 11, 1992",#
"ELONU Chinemelu",1900,3000,C,2.0800,236,"March 11, 1987",#
"GRIFFIN Eric",1900,3000,F-C,2.0300,209,"May 26, 1990",#
"LLOMPART Pedro",1900,3000,G,1.8700,185,"January 9, 1982",#
"ALLEN Bryon",1900,3000,G,1.9000,198,"May 1, 1992",#
"AGUILAR Pablo",1900,3000,F,2.0500,236,"February 9, 1989",#
"ORTNER Benjamin",1900,3000,C,2.0600,227,"March 16, 1983",#
"RIVERS Kelvin",1900,3000,G,1.9600,214,"March 1, 1987",#
"DIXON Micheal",1900,3000,G,1.8600,201,"December 1, 1990",#
"BERTOLINI Francesco",1900,3000,G,1.9000,187,"January 31, 2001",#
"RICHARD Patrick",1900,3000,G,1.9600,207,"January 25, 1990",#
"POIRIER Darel Alan",1900,3000,C,2.0800,176,"July 27, 1997",#
"CAMPOGRANDE Luca",1900,3000,F,1.9800,198,"April 30, 1996",#
"UDANOH Ike",1900,3000,C,2.0200,245,"August 2, 1989",#
"FILLOY Ariel",1900,3000,G,1.9000,187,"March 11, 1987",#
"D'ERCOLE Lorenzo",1900,3000,G,1.9300,194,"February 11, 1988",#
"SILINS Ojars",1900,3000,F,2.0000,209,"July 20, 1993",#
"SYKES Keifer",1900,3000,G,1.8300,170,"December 30, 1993",#
"YOUNG Patric",1900,3000,C,2.0800,251,"February 1, 1992",#
"GUARIGLIA Antonio",1900,3000,G,1.9000,187,"April 28, 2001",#
"CAMPANI Luca",1900,3000,F-C,2.0800,198,"February 18, 1990",#
"HARPER Demonte",1900,3000,G-F,1.9300,194,"June 21, 1989",#
"SPIZZICHINI Stefano",1900,3000,F,2.0300,198,"January 9, 1990",#
"NDIAYE Hamady",1900,3000,C,2.1300,236,"January 12, 1987",#
"NICHOLS Demetris",1900,3000,F,2.0300,212,"September 4, 1984",#
"COSTELLO Matt",1900,3000,F,2.0800,240,"August 5, 1993",#
"GREEN Caleb",1900,3000,F,2.0300,238,"July 10, 1985",#
"SABATINO Antonino",1900,3000,G,1.8400,161,"March 31, 2000",#
"COLE Norris",1900,3000,G,1.8800,174,"October 13, 1988",#
"GENOVESE Luigi",1900,3000,G,1.9000,187,"July 10, 2001",#
"IDRISSOU Karim",1900,3000,G,1.9000,187,"September 1, 2000",#
"DE MEO Gianluca",1900,3000,G,1.9000,187,"January 22, 2000",#
"BIANCO Andrea",1900,3000,G,1.9000,187,"May 7, 2001",#
"STRAUTINS Arturs",1900,3000,G-F,1.9800,221,"October 23, 1998",#
"CORONICA Andrea",1900,3000,F,1.9000,187,"August 19, 1993",#
"FERNANDEZ Juan Manuel",1900,3000,G,1.9300,183,"July 22, 1990",#
"DA ROS Matteo",1900,3000,F,2.0400,205,"September 25, 1989",#
"KNOX Justin",1900,3000,C,2.0600,243,"January 13, 1989",#
"PERIC Hrvoje",1900,3000,F,2.0100,225,"October 25, 1985",#
"SCHINA Matteo",1900,3000,G,1.9000,187,"March 16, 2001",#
"JANELIDZE Giga",1900,3000,F,2.0000,221,"April 3, 1995",#
"CAVALIERO Daniele",1900,3000,G,1.8800,183,"January 10, 1984",#
"SILINS Ojars",1900,3000,F,2.0000,209,"July 20, 1993",#
"WRIGHT Chris",1900,3000,G,1.8500,209,"November 4, 1989",#
"SANDERS Jamarr",1900,3000,G-F,1.9300,209,"August 2, 1988",#
"DRAGIC Zoran",1900,3000,G-F,1.9600,201,"June 22, 1989",#
"MOSLEY William",1900,3000,C,2.0300,221,"June 22, 1989",#
"CITTADINI Alessandro",1900,3000,C,2.0700,227,"January 2, 1979",#
"DEANGELI Lodovico",1900,3000,G,1.9000,187,"May 19, 2000",#
"WALKER Devondrick",1900,3000,G,1.9600,205,"July 11, 1992",#
"MILIC Stefan",1900,3000,G,1.9000,187,"June 8, 2000",#
"WILSON Jamil",1900,3000,F,2.0100,229,"November 21, 1991",#
"POETA Giuseppe",1900,3000,G,1.9000,174,"September 12, 1985",#
"DELFINO Carlos",1900,3000,G-F,1.9800,229,"August 29, 1982",#
"CUSIN Marco",1900,3000,C,2.1100,236,"February 28, 1985",#
"STOJANOVIC Vojislav",1900,3000,G,1.9900,216,"April 14, 1997",#
"PORTANNESE Marco",1900,3000,G,1.9200,185,"May 29, 1989",#
"RUDD Victor",1900,3000,F,2.0600,247,"March 18, 1991",#
"ANUMBA Simon",1900,3000,G,1.9100,190,"August 28, 1996",#
"CARR Tony",1900,3000,G,1.9600,201,"October 11, 1997",#
"GUAIANA Vincenzo",1900,3000,G,1.9200,172,"December 1, 2000",#
"MCADOO James Michael",1900,3000,C,2.0600,240,"January 4, 1993",#
"TAYLOR Jamal Tyshawn",1900,3000,G,1.9100,185,"April 12, 1990",#
"MARRONE Simone",1900,3000,F,1.9200,176,"April 29, 2000",#
"COTTON Tekele",1900,3000,G,1.8800,203,"May 27, 1993",#
"JAITEH Mouhammadou",1900,3000,C,2.1100,249,"September 27, 1994",#
"MURRI Riccardo",1900,3000,G,1.9000,187,"December 2, 2000",#
"STODO Mattia",1900,3000,G,1.9000,187,"September 8, 2000",#
"MOORE Dallas",1900,3000,G,1.8500,181,"October 27, 1994",#
"HOBSON Darington",1900,3000,F,2.0100,209,"September 19, 1987",#
"MITTICA Lorenzo",1900,3000,G,1.9000,187,"January 19, 2001",#
"MOGLIA Umberto",1900,3000,G,1.9000,187,"November 7, 2001",#
"OKEKE David Albright",1900,3000,F,2.0300,209,"September 15, 1998",#
"CONTI Luca",1900,3000,F,1.9500,198,"December 20, 2000",#
"ANCELLOTTI Andrea",1900,3000,F,2.1300,243,"March 28, 1988",#
"CALBINI Lorenzo",1900,3000,G,1.9000,187,"December 20, 2002",#
"ZANOTTI Simone",1900,3000,F,2.0800,201,"December 31, 1992",#
"MUJAKOVIC Edin",1900,3000,G,1.9000,176,"May 16, 2002",#
"ALESSANDRINI Nicolas",1900,3000,F,2.0000,216,"May 8, 2001",#
"BLACKMON James",1900,3000,G,1.9300,201,"April 25, 1995",#
"MCCREE Erik",1900,3000,F,2.0300,225,"December 20, 1993",#
"ARTIS Dominic",1900,3000,G,1.9000,185,"July 7, 1993",#
"MURRAY Lamond",1900,3000,F,1.9600,201,"November 11, 1994",#
"BONCI Alessandro",1900,3000,G,1.8900,187,"March 17, 2000",#
"TOGNACCI Federico",1900,3000,G,1.9500,198,"April 19, 2000",#
"MONALDI Diego",1900,3000,G,1.8500,172,"April 3, 1993",#
"MOCKEVICIUS Egidijus",1900,3000,C,2.0800,238,"September 1, 1992",#
"SHASHKOV Alexander",1900,3000,G,1.9000,187,"February 26, 2000",#
"GIUNTA Simone",1900,3000,G,1.9000,187,"March 16, 2000",#
"CENTIS Giovanni",1900,3000,G,1.9000,187,"May 2, 2000",#
"MORGILLO Alessandro",1900,3000,G,1.9000,187,"December 5, 1999",#
"LYONS Mark Steven",1900,3000,G,1.8500,176,"July 4, 1989",#
"WELLS Dezmine",1900,3000,F,1.9600,216,"April 15, 1992",#
"PARLANI Matteo",1900,3000,G,1.9000,187,"January 30, 2000",#
"TOMBARI Massimo",1900,3000,G,1.9000,187,"August 13, 2000",#
